DATE,MST,Global CM22 Vent [W/m^2],Deck Dry Bulb Temp [deg C],Deck RH [%],Station Pressure [mBar],Precipitable Water Vapor [cm],500nm Aerosol Optical Depth
7/17/2011,00:00,-1.5212,22.49,43.49,820.7,0,0
7/17/2011,00:01,-1.5212,22.47,43.59,820.69,0,0
7/17/2011,00:02,-1.5212,22.44,43.63,820.74,0,0
7/17/2011,00:03,-1.4375,22.41,44.43,820.78,0,0
7/17/2011,00:04,-1.3006,22.38,44.94,820.79,0,0
7/17/2011,00:05,-1.2246,22.35,44.99,820.8,0,0
7/17/2011,00:06,-1.217,22.32,45.06,820.8,0,0
7/17/2011,00:07,-1.217,22.29,45.17,820.8,0,0
7/17/2011,00:08,-1.217,22.27,45.3,820.8,0,0
7/17/2011,00:09,-1.217,22.25,45.35,820.8,0,0
7/17/2011,00:10,-1.217,22.23,45.16,820.8,0,0
7/17/2011,00:11,-1.3387,22.21,45.03,820.81,0,0
7/17/2011,00:12,-1.3995,22.19,45.01,820.81,0,0
7/17/2011,00:13,-1.4908,22.17,44.74,820.82,0,0
7/17/2011,00:14,-1.5212,22.16,44.62,820.84,0,0
7/17/2011,00:15,-1.5212,22.16,44.43,820.9,0,0
7/17/2011,00:16,-1.5212,22.17,44.36,820.9,0,0
7/17/2011,00:17,-1.5212,22.16,44.35,820.91,0,0
7/17/2011,00:18,-1.5288,22.17,44.06,820.9,0,0
7/17/2011,00:19,-1.5364,22.17,43.96,820.92,0,0
7/17/2011,00:20,-1.5212,22.17,43.87,820.92,0,0
7/17/2011,00:21,-1.5212,22.17,44.05,820.93,0,0
7/17/2011,00:22,-1.5212,22.17,44.09,820.97,0,0
7/17/2011,00:23,-1.5212,22.16,44.31,820.98,0,0
7/17/2011,00:24,-1.5212,22.16,44.58,820.98,0,0
7/17/2011,00:25,-1.5212,22.16,44.85,820.96,0,0
7/17/2011,00:26,-1.5212,22.16,45.3,821.03,0,0
7/17/2011,00:27,-1.5212,22.15,45.18,821.05,0,0
7/17/2011,00:28,-1.5212,22.15,45.06,821.05,0,0
7/17/2011,00:29,-1.5212,22.15,44.69,821.05,0,0
7/17/2011,00:30,-1.5212,22.14,44.51,821.05,0,0
7/17/2011,00:31,-1.5212,22.14,44.47,821.05,0,0
7/17/2011,00:32,-1.5212,22.14,44.53,821.04,0,0
7/17/2011,00:33,-1.5212,22.14,44.24,821.04,0,0
7/17/2011,00:34,-1.5212,22.13,44.53,821.01,0,0
7/17/2011,00:35,-1.5212,22.12,44.69,820.98,0,0
7/17/2011,00:36,-1.5212,22.11,44.88,820.94,0,0
7/17/2011,00:37,-1.5212,22.09,44.52,820.92,0,0
7/17/2011,00:38,-1.5212,22.08,44.31,820.93,0,0
7/17/2011,00:39,-1.5212,22.07,44.39,820.92,0,0
7/17/2011,00:40,-1.5212,22.06,44.7,820.92,0,0
7/17/2011,00:41,-1.5212,22.04,44.82,820.94,0,0
7/17/2011,00:42,-1.5212,22.03,44.75,820.94,0,0
7/17/2011,00:43,-1.5212,22.03,44.83,820.99,0,0
7/17/2011,00:44,-1.5212,22.02,44.88,821.01,0,0
7/17/2011,00:45,-1.5212,22.02,44.93,821.03,0,0
7/17/2011,00:46,-1.5212,22.02,45.05,821.05,0,0
7/17/2011,00:47,-1.4147,22.01,45.18,821.05,0,0
7/17/2011,00:48,-1.3234,22,45.98,821.05,0,0
