DateTime,GlobalCM22,Temperature,RelativeHumidity,Pressure,PrecipitableWater
2011-07-17 00:01:00-07:00,-1.5212,22.47,43.59,820.69,0.0
2011-07-17 01:01:00-07:00,-1.4755,21.83,47.05,821.05,0.0
2011-07-17 02:01:00-07:00,-1.2321,19.96,57.57,821.43,0.0
2011-07-17 03:01:00-07:00,-1.5211,19.93,53.23,821.44,0.0
2011-07-17 04:01:00-07:00,-1.407,19.94,51.96,821.67,0.0
2011-07-17 05:01:00-07:00,16.405,20.12,51.21,821.92,-6999.0
2011-07-17 06:01:00-07:00,209.61,22.37,47.65,822.02,4.018
2011-07-17 07:01:00-07:00,422.0,25.6,39.19,822.15,2.70636
2011-07-17 08:01:00-07:00,556.62,28.26,39.9,822.39,2.13547
2011-07-17 09:01:00-07:00,730.25,26.69,41.41,822.53,1.84143
2011-07-17 10:01:00-07:00,869.9,28.23,37.55,822.77,1.78043
2011-07-17 11:01:00-07:00,956.83,29.85,35.71,822.64,1.62565
2011-07-17 12:01:00-07:00,985.92,31.23,30.94,822.11,1.83393
2011-07-17 13:01:00-07:00,973.77,32.18,25.93,821.7,1.73244
2011-07-17 14:01:00-07:00,1196.0,32.77,23.9,821.05,2.03644
2011-07-17 15:01:00-07:00,766.98,34.16,18.46,820.59,1.73628
2011-07-17 16:01:00-07:00,713.26,31.08,35.52,820.56,2.24858
2011-07-17 17:01:00-07:00,427.97,29.96,35.06,821.05,3.1038
2011-07-17 18:01:00-07:00,44.883,27.91,37.13,821.05,5.06245
2011-07-17 19:01:00-07:00,15.638,25.46,44.65,821.17,-6999.0
2011-07-17 20:01:00-07:00,-1.5288,24.59,46.94,821.61,0.0
2011-07-17 21:01:00-07:00,-1.5212,24.13,50.18,822.3,0.0
2011-07-17 22:01:00-07:00,-1.5212,23.28,52.55,822.4,0.0
2011-07-17 23:01:00-07:00,-1.5211,22.6,54.67,822.52,0.0
2011-07-18 00:01:00-07:00,-1.5212,22.37,52.74,822.52,0.0
2011-07-18 01:01:00-07:00,-1.5059,21.65,52.96,822.28,0.0
2011-07-18 02:01:00-07:00,-1.4222,21.77,50.18,822.12,0.0
2011-07-18 03:01:00-07:00,-1.5211,21.67,47.92,821.95,0.0
2011-07-18 04:01:00-07:00,-1.5211,21.06,46.94,821.92,0.0
2011-07-18 05:01:00-07:00,17.432,20.73,48.69,822.77,-6999.0
2011-07-18 06:01:00-07:00,164.05,22.14,47.3,823.38,3.36029
2011-07-18 07:01:00-07:00,356.01,26.22,38.73,824.0,2.78919
2011-07-18 08:01:00-07:00,545.67,26.49,39.75,824.07,2.37639
2011-07-18 09:01:00-07:00,717.7,28.3,35.62,823.64,2.07534
2011-07-18 10:01:00-07:00,858.41,29.66,30.14,823.51,1.77235
2011-07-18 11:01:00-07:00,943.87,29.78,31.28,823.13,1.68888
2011-07-18 12:01:00-07:00,985.68,30.26,31.73,822.49,1.62311
