DateTime,GlobalCM22,Temperature,RelativeHumidity,Pressure,PrecipitableWater
2011-07-17 00:00:00-07:00,-1.5212,22.49,43.49,820.7,0.0
2011-07-17 00:01:00-07:00,-1.5212,22.47,43.59,820.69,0.0
2011-07-17 00:02:00-07:00,-1.5212,22.44,43.63,820.74,0.0
2011-07-17 00:03:00-07:00,-1.4375,22.41,44.43,820.78,0.0
2011-07-17 00:04:00-07:00,-1.3006,22.38,44.94,820.79,0.0
2011-07-17 00:05:00-07:00,-1.2246,22.35,44.99,820.8,0.0
2011-07-17 00:06:00-07:00,-1.217,22.32,45.06,820.8,0.0
2011-07-17 00:07:00-07:00,-1.217,22.29,45.17,820.8,0.0
2011-07-17 00:08:00-07:00,-1.217,22.27,45.3,820.8,0.0
2011-07-17 00:09:00-07:00,-1.217,22.25,45.35,820.8,0.0
2011-07-17 00:10:00-07:00,-1.217,22.23,45.16,820.8,0.0
2011-07-17 00:11:00-07:00,-1.3387,22.21,45.03,820.81,0.0
2011-07-17 00:12:00-07:00,-1.3995,22.19,45.01,820.81,0.0
2011-07-17 00:13:00-07:00,-1.4908,22.17,44.74,820.82,0.0
2011-07-17 00:14:00-07:00,-1.5212,22.16,44.62,820.84,0.0
2011-07-17 00:15:00-07:00,-1.5212,22.16,44.43,820.9,0.0
2011-07-17 00:16:00-07:00,-1.5212,22.17,44.36,820.9,0.0
2011-07-17 00:17:00-07:00,-1.5212,22.16,44.35,820.91,0.0
2011-07-17 00:18:00-07:00,-1.5288,22.17,44.06,820.9,0.0
2011-07-17 00:19:00-07:00,-1.5364,22.17,43.96,820.92,0.0
2011-07-17 00:20:00-07:00,-1.5212,22.17,43.87,820.92,0.0
2011-07-17 00:21:00-07:00,-1.5212,22.17,44.05,820.93,0.0
2011-07-17 00:22:00-07:00,-1.5212,22.17,44.09,820.97,0.0
2011-07-17 00:23:00-07:00,-1.5212,22.16,44.31,820.98,0.0
2011-07-17 00:24:00-07:00,-1.5212,22.16,44.58,820.98,0.0
2011-07-17 00:25:00-07:00,-1.5212,22.16,44.85,820.96,0.0
2011-07-17 00:26:00-07:00,-1.5212,22.16,45.3,821.03,0.0
2011-07-17 00:27:00-07:00,-1.5212,22.15,45.18,821.05,0.0
2011-07-17 00:28:00-07:00,-1.5212,22.15,45.06,821.05,0.0
